Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26555.20 	media espera: 13283.70 	Media_percurso: 13269.50 	Total perc. elevador: 132695 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: -116807888.00 	media espera: -116821160.00 	Media_percurso: 13268.60 	Total perc. elevador: 132686 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26568.40 	media espera: 13296.70 	Media_percurso: 13269.70 	Total perc. elevador: 132697 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26552.80 	media espera: 13282.30 	Media_percurso: 13268.50 	Total perc. elevador: 132685 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26539.70 	media espera: 13270.30 	Media_percurso: 13267.40 	Total perc. elevador: 132674 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26549.40 	media espera: 13278.90 	Media_percurso: 13268.50 	Total perc. elevador: 132685 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26549.40 	media espera: 13278.90 	Media_percurso: 13268.50 	Total perc. elevador: 132685 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26552.30 	media espera: 13279.90 	Media_percurso: 13270.40 	Total perc. elevador: 132704 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26577.60 	media espera: 13306.20 	Media_percurso: 13269.40 	Total perc. elevador: 132694 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26555.00 	media espera: 13282.90 	Media_percurso: 13270.10 	Total perc. elevador: 132701 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26545.50 	media espera: 13274.70 	Media_percurso: 13268.80 	Total perc. elevador: 132688 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26546.20 	media espera: 13275.60 	Media_percurso: 13268.60 	Total perc. elevador: 132686 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26586.30 	media espera: 13314.60 	Media_percurso: 13269.70 	Total perc. elevador: 132697 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26548.20 	media espera: 13276.90 	Media_percurso: 13269.30 	Total perc. elevador: 132693 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26552.30 	media espera: 13280.90 	Media_percurso: 13269.40 	Total perc. elevador: 132694 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 168645264.00 	media espera: 168631984.00 	Media_percurso: 13268.50 	Total perc. elevador: 132685 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26550.20 	media espera: 13278.90 	Media_percurso: 13269.30 	Total perc. elevador: 132693 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26547.40 	media espera: 13275.30 	Media_percurso: 13270.10 	Total perc. elevador: 132701 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26563.50 	media espera: 13291.80 	Media_percurso: 13269.70 	Total perc. elevador: 132697 	Portas elev: 20

